time;value
21.11.2018 15:48:45;86,79
21.11.2018 15:49:00;87,89
21.11.2018 15:49:17;87,56
21.11.2018 15:49:30;86,3
21.11.2018 15:49:45;87,04
21.11.2018 15:50:00;87,04
21.11.2018 15:50:15;86,77
21.11.2018 15:50:30;87,29
21.11.2018 15:50:45;86,85
21.11.2018 15:51:00;86,85
21.11.2018 15:51:15;85,59
21.11.2018 15:51:30;85,75
21.11.2018 15:51:45;85,13
21.11.2018 15:52:01;85,13
21.11.2018 15:52:15;85,66
21.11.2018 15:52:30;85,74
21.11.2018 15:52:46;84,84
21.11.2018 15:53:00;84,84
21.11.2018 15:53:16;84,82
21.11.2018 15:53:30;85,24
21.11.2018 15:53:45;85,54
21.11.2018 15:54:00;85,54
21.11.2018 15:54:15;86,16
21.11.2018 15:54:30;84,68
21.11.2018 15:54:48;84,2
21.11.2018 15:55:01;84,2
21.11.2018 15:55:15;84,17
21.11.2018 15:55:30;83,74
21.11.2018 15:55:45;84,23
21.11.2018 15:56:00;84,23
21.11.2018 15:56:15;84,9
21.11.2018 15:56:30;83,73
21.11.2018 15:56:45;84,23
21.11.2018 15:57:00;84,23
21.11.2018 15:57:15;85,98
21.11.2018 15:57:30;85,37
21.11.2018 15:57:45;84,97
21.11.2018 15:58:00;84,97
21.11.2018 15:58:15;83,61
21.11.2018 15:58:30;84,59
21.11.2018 15:58:45;84,79
21.11.2018 15:59:00;84,79
21.11.2018 15:59:15;84,82
21.11.2018 15:59:30;84,97
21.11.2018 15:59:45;85,16
21.11.2018 16:00:02;84,92
21.11.2018 16:00:15;84,92
21.11.2018 16:00:30;84,93
21.11.2018 16:00:45;85,61
21.11.2018 16:01:03;85,23
21.11.2018 16:01:15;85,23
21.11.2018 16:01:30;85,59
21.11.2018 16:01:45;84,99
21.11.2018 16:02:00;84,99
21.11.2018 16:02:15;86,36
21.11.2018 16:02:30;85,96
21.11.2018 16:02:45;85,15
21.11.2018 16:03:00;85,15
21.11.2018 16:03:15;84,4
21.11.2018 16:03:30;85,68
21.11.2018 16:03:45;86,09
21.11.2018 16:04:00;86,09
21.11.2018 16:04:15;85,69
21.11.2018 16:04:30;84,75
21.11.2018 16:04:45;85,97
21.11.2018 16:05:15;85,97
21.11.2018 16:05:30;86,65
21.11.2018 16:05:45;86,22
21.11.2018 16:06:00;86,22
21.11.2018 16:06:15;85,89
21.11.2018 16:06:30;85,86
21.11.2018 16:06:45;86,1
21.11.2018 16:07:00;86,1
21.11.2018 16:07:16;86,61
21.11.2018 16:07:30;86,11
21.11.2018 16:07:45;86,83
21.11.2018 16:08:04;86
21.11.2018 16:08:15;86
21.11.2018 16:08:30;87,14
21.11.2018 16:08:45;86,3
21.11.2018 16:09:04;86,2
21.11.2018 16:09:15;86,2
21.11.2018 16:09:30;85,95
21.11.2018 16:09:45;84,13
21.11.2018 16:10:04;84,13
21.11.2018 16:10:15;82,4
21.11.2018 16:10:30;83,97
21.11.2018 16:10:45;86,86
21.11.2018 16:11:01;86,86
21.11.2018 16:11:15;87,71
21.11.2018 16:11:30;88,27
21.11.2018 16:11:45;86,21
21.11.2018 16:12:00;86,21
21.11.2018 16:12:16;86,62
21.11.2018 16:12:30;86,08
21.11.2018 16:12:45;86,94
21.11.2018 16:13:00;86,94
21.11.2018 16:13:15;88,1
21.11.2018 16:13:30;87,94
21.11.2018 16:13:45;87,94
21.11.2018 16:14:00;88,49
21.11.2018 16:14:15;88,77
21.11.2018 16:14:30;89,39
21.11.2018 16:14:45;87,12
21.11.2018 16:15:00;87,12
21.11.2018 16:15:15;88,66
21.11.2018 16:15:30;87,89
21.11.2018 16:15:45;87,89
21.11.2018 16:16:01;86,94
21.11.2018 16:16:16;88,44
21.11.2018 16:16:30;87,84
21.11.2018 16:16:45;87,84
21.11.2018 16:17:01;88,06
21.11.2018 16:17:15;86,36
21.11.2018 16:17:30;88,04
21.11.2018 16:17:45;88,04
21.11.2018 16:18:00;88,76
21.11.2018 16:18:15;88,49
21.11.2018 16:18:30;89,23
21.11.2018 16:18:45;89,23
21.11.2018 16:19:00;88,22
21.11.2018 16:19:15;88,45
21.11.2018 16:19:30;88,95
21.11.2018 16:19:45;88,95
21.11.2018 16:20:01;88,41
21.11.2018 16:20:15;87,98
21.11.2018 16:20:30;87,74
21.11.2018 16:20:45;87,74
21.11.2018 16:21:00;87,95
21.11.2018 16:21:15;88,41
21.11.2018 16:21:30;87,98
21.11.2018 16:21:45;87,98
21.11.2018 16:22:00;88,07
21.11.2018 16:22:15;87,83
21.11.2018 16:22:30;88,08
21.11.2018 16:22:45;88,08
21.11.2018 16:23:00;88,89
21.11.2018 16:23:15;89,12
21.11.2018 16:23:30;89,28
21.11.2018 16:23:45;89,28
21.11.2018 16:24:01;88,17
21.11.2018 16:24:15;88,83
21.11.2018 16:24:30;88,59
21.11.2018 16:24:45;88,59
21.11.2018 16:25:01;88,57
21.11.2018 16:25:15;89,96
21.11.2018 16:25:30;87,68
21.11.2018 16:25:45;87,68
21.11.2018 16:26:00;87,56
21.11.2018 16:26:15;88,98
21.11.2018 16:26:30;87,99
21.11.2018 16:26:45;87,99
21.11.2018 16:27:01;88,73
21.11.2018 16:27:15;88,5
21.11.2018 16:27:30;86,24
21.11.2018 16:27:45;86,24
21.11.2018 16:28:00;87,67
21.11.2018 16:28:15;89,19
21.11.2018 16:28:30;89,21
21.11.2018 16:28:45;89,21
21.11.2018 16:29:00;87,73
21.11.2018 16:29:15;87,35
21.11.2018 16:29:30;88,41
21.11.2018 16:29:45;88,41
21.11.2018 16:30:04;87,42
21.11.2018 16:30:15;87,93
21.11.2018 16:30:30;87,22
21.11.2018 16:30:45;87,22
21.11.2018 16:31:01;87,16
21.11.2018 16:31:15;87,29
21.11.2018 16:31:30;86,57
21.11.2018 16:31:45;86,57
21.11.2018 16:32:00;87,79
21.11.2018 16:32:15;88,62
21.11.2018 16:32:30;87,32
21.11.2018 16:32:45;87,32
21.11.2018 16:33:00;87,84
21.11.2018 16:33:15;87,1
21.11.2018 16:33:30;87,27
21.11.2018 16:33:45;87,27
21.11.2018 16:34:01;87,12
21.11.2018 16:34:15;87,99
21.11.2018 16:34:30;87,8
21.11.2018 16:34:46;87,8
21.11.2018 16:35:00;88,58
21.11.2018 16:35:15;90,08
21.11.2018 16:35:30;87,49
21.11.2018 16:35:45;87,49
21.11.2018 16:36:00;87,55
21.11.2018 16:36:15;87,04
21.11.2018 16:36:30;87,76
21.11.2018 16:36:45;87,76
21.11.2018 16:37:01;87,95
21.11.2018 16:37:15;87,34
21.11.2018 16:37:30;89,67
21.11.2018 16:37:45;89,67
21.11.2018 16:38:01;89,34
21.11.2018 16:38:15;88,49
21.11.2018 16:38:30;87,51
21.11.2018 16:38:45;87,51
21.11.2018 16:39:00;89,09
21.11.2018 16:39:15;89,57
21.11.2018 16:39:30;88,36
21.11.2018 16:39:45;88,36
21.11.2018 16:40:03;88,72
21.11.2018 16:40:15;88,62
21.11.2018 16:40:30;86,63
21.11.2018 16:40:45;86,63
21.11.2018 16:41:00;86,25
