Q;H;P_h;NPSH;;Q_bep;eta_bep;;Q_bep2;eta_bep2;;Q_min;Q_max;;Stages;;IE;rpm;P_m;I_m;cos_phi;eta_100;eta_75
0;40,06578091;;;;125,5223247;87,12598889;;140,2235714;86,59798123;;15;150;;2;;3;2900;15;28,5;0,84;90,3;90,2
10,78642857;40,64625349;;;;;;;;;;;;;;;;;;;;;
15;40,82194839;;;;;;;;;;;;;;;;;;;;;
21,57285714;41,03874491;;;;;;;;;;;;;;;;;;;;;
32,35928571;41,24325516;;;;;;;;;;;;;;;;;;;;;
43,14571429;41,25978426;;;;;;;;;;;;;;;;;;;;;
53,93214286;41,0883322;;;;;;;;;;;;;;;;;;;;;
64,71857143;40,72889898;;;;;;;;;;;;;;;;;;;;;
75,505;40,18148459;;;;;;;;;;;;;;;;;;;;;
86,29142857;39,44608905;;;;;;;;;;;;;;;;;;;;;
97,07785714;38,52271235;;;;;;;;;;;;;;;;;;;;;
107,8642857;37,41135448;;;;;;;;;;;;;;;;;;;;;
118,6507143;36,11201546;;;;;;;;;;;;;;;;;;;;;
125,5223247;35,1862341;;;;;;;;;;;;;;;;;;;;;
129,4371429;34,62469528;;;;;;;;;;;;;;;;;;;;;
140,2235714;32,94939393;;;;;;;;;;;;;;;;;;;;;
151,01;31,08611143;;;;;;;;;;;;;;;;;;;;;
